PANEL XENIUM (INMUNO),,,,,ADD-ON GENES,,,
Gene,Ensemble ID,Annotation,,,Gene,Ensembl ID,Tissues,Cell types
IL15,ENSG00000164136,Immune Cell Regulation,,,,,,
IL15RA,ENSG00000134470,Immune Cell Regulation,,,,,,
IL18,ENSG00000150782,Immune Checkpoint,,,,,,
IL1A,ENSG00000115008,Immune Cell Regulation,,,,,,
IL1B,ENSG00000125538,Immune Cell Regulation;Epithelial Cell,,,,,,
IL1R1,ENSG00000115594,Immune Cell Regulation,,,,,,
IL1RAP,ENSG00000196083,Immune Cell Regulation,,,,,,
IL2,ENSG00000109471,T Cell;Activation;Proliferation,,,,,,
IL22RA1,ENSG00000142677,Immune Cell Regulation;T Cell,,,,,,
IL22RA2,ENSG00000164485,Immune Cell Regulation;T Cell,,,,,,
IL23A,ENSG00000110944,Dendritic Cell;Tissue Repair,,,,,,
IL2RA,ENSG00000134460,T Cell;Regulatory,,,,,,
IL2RB,ENSG00000100385,Immune Cell Regulation;T Cell,,,,,,
IL2RG,ENSG00000147168,Immune Cell Regulation;T Cell,,,,,,
IL4,ENSG00000113520,Macrophage;Neutrophil;Polarization;T Cell;Mast Cell;Basophil,,,,,,
IL4R,ENSG00000077238,T Cell;Activation,,,,,,
IL5,ENSG00000113525,Innate Lymphoid Cell;ILC2,,,,,,
IL6,ENSG00000136244,Immune Cell Regulation;Neutrophil,,,,,,
IL7R,ENSG00000168685,T Cell;Survival;Memory,,,,,,
IQGAP2,ENSG00000145703,Natural Killer Cell,,,,,,
IRF1,ENSG00000125347,,,,,,,
IRF2,ENSG00000168310,,,,,,,
IRF3,ENSG00000126456,,,,,,,
IRF4,ENSG00000137265,T Cell;Regulatory,,,,,,
IRF5,ENSG00000128604,,,,,,,
IRF8,ENSG00000140968,Dendritic Cell;Plasmacytoid,,,,,,
ISG15,ENSG00000187608,,,,,,,
ITGA1,ENSG00000213949,T Cell;Resident Memory,,,,,,
ITGAE,ENSG00000083457,Dendritic Cell,,,,,,
ITGAM,ENSG00000169896,Monocyte;Granulocyte;Macrophage;Natural Killer Cell;T Cell,,,,,,
ITGAX,ENSG00000140678,,,,,,,
JAK1,ENSG00000162434,T Cell,,,,,,
JAK2,ENSG00000096968,T Cell,,,,,,
JAK3,ENSG00000105639,,,,,,,
JCHAIN,ENSG00000132465,Plasma Cell;Plasmablast,,,,,,
JUN,ENSG00000177606,Proto-Oncogene,,,,,,
JUNB,ENSG00000171223,Proto-Oncogene,,,,,,
KIT,ENSG00000157404,Proto-Oncogene,,,,,,
KLRB1,ENSG00000111796,T Cell;CD8+;Naive;Natural Killer Cell,,,,,,
KLRC1,ENSG00000134545,,,,,,,
KLRD1,ENSG00000134539,Natural Killer Cell,,,,,,
KLRF1,ENSG00000150045,,,,,,,
KLRK1,ENSG00000213809,Natural Killer Cell,,,,,,
KMT2C,ENSG00000055609,,,,,,,
KRAS,ENSG00000133703,Epithelial Cell;Oncogene,,,,,,
LAG3,ENSG00000089692,T Cell;Exhaustion;Immune Checkpoint,,,,,,
LAMP1,ENSG00000185896,,,,,,,
LAMP2,ENSG00000005893,Autophagy,,,,,,
LAMP3,ENSG00000078081,,,,,,,
LCK,ENSG00000182866,,,,,,,
LIF,ENSG00000128342,,,,,,,
LILRA4,ENSG00000239961,Dendritic Cell;Plasmacytoid,,,,,,
LILRA5,ENSG00000187116,Monocyte;Non-Classical,,,,,,
LILRB2,ENSG00000131042,Monocyte;Non-Classical,,,,,,
LILRB4,ENSG00000186818,Dendritic Cell;Plasmacytoid,,,,,,
LTB,ENSG00000227507,TNF Superfamily,,,,,,
LUM,ENSG00000139329,Fibroblast,,,,,,
LY6E,ENSG00000160932,,,,,,,
MARCO,ENSG00000019169,Macrophage,,,,,,
MCEMP1,ENSG00000183019,Macrophage,,,,,,
MET,ENSG00000105976,Epithelial Cell,,,,,,
MGP,ENSG00000111341,,,,,,,
MIS18BP1,ENSG00000129534,Monocyte;Non-Classical,,,,,,
MKI67,ENSG00000148773,B Cell;Proliferation,,,,,,
MMP12,ENSG00000262406,Dendritic Cell;Myeloid,,,,,,
MMP9,ENSG00000100985,Macrophage;Neutrophil;Polarization,,,,,,
MPEG1,ENSG00000197629,Dendritic Cell;Plasmacytoid,,,,,,
MS4A1,ENSG00000156738,B Cell;Lineage Marker;Proliferation,,,,,,
MS4A2,ENSG00000149534,Mast Cell,,,,,,
MUC5AC,ENSG00000215182,Pit Mucous Cell;Lineage Marker,,,,,,
MX1,ENSG00000157601,,,,,,,
MYD88,ENSG00000172936,,,,,,,
MZB1,ENSG00000170476,Plasma Cell;Plasmablast,,,,,,
NCAM1,ENSG00000149294,,,,,,,
NCEH1,ENSG00000144959,Megakarocyte,,,,,,
NELL2,ENSG00000184613,,,,,,,
NF1,ENSG00000196712,,,,,,,
NKG7,ENSG00000105374,Natural Killer Cell,,,,,,
NOD1,ENSG00000106100,,,,,,,
NOSIP,ENSG00000142546,,,,,,,
NOTCH1,ENSG00000148400,T Cell;Th2,,,,,,
NOTCH2,ENSG00000134250,T Cell;Th2,,,,,,
NOTCH3,ENSG00000074181,Pericyte;Lineage Marker;T Cell;Th1,,,,,,
NT5E,ENSG00000135318,T Cell;Inhibitory,,,,,,
ORC6,ENSG00000091651,Cell Division,,,,,,
P2RX1,ENSG00000108405,Mast Cell,,,,,,
PAX5,ENSG00000196092,,,,,,,
PDCD1,ENSG00000188389,T Cell;Exhausted,,,,,,
PDCD1LG2,ENSG00000197646,Immune Checkpoint,,,,,,
PDGFRA,ENSG00000134853,Stromal Cell,,,,,,
PGA5,ENSG00000256713,Chief Cell;Lineage Marker,,,,,,
PIK3CA,ENSG00000121879,,,,,,,
PLA2G7,ENSG00000146070,Dendritic Cell,,,,,,
PLD4,ENSG00000166428,Dendritic Cell;Lineage Marker,,,,,,
PLEK,ENSG00000115956,,,,,,,
PLVAP,ENSG00000130300,Endothelial Cell;Lineage Marker,,,,,,
PRDX4,ENSG00000123131,Plasma Cell,,,,,,
